year,record_scope,row_type,regime,level,entity_id,chgis_sys_id,state_id,state_name,prefecture_id,prefecture_name,county_id,county_name,administrative_name,map_label,is_fief,fief_id,fief_rank,holder_text,uncertain,qiao,longitude,latitude,map_drawn,geometry_status,unmapped_reason,chgis_source,book_page,pdf_page,source_title,source_url
588,yearbook_588,administrative_entity,南陳,state,ch_s0001,33462,ch_s0001,揚州,,,,,揚州,揚州,0,,,,0,0,116.77711500171348,32.57574799850527,1,seat,,CHGIS V6,1361,463,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0001,32364,ch_s0001,揚州,ch_p0001,丹陽郡,,,丹陽郡,丹陽郡,0,,,,0,0,118.76899000250202,32.05256299181896,1,seat,,CHGIS V6,1361,463,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0001,40525,ch_s0001,揚州,ch_p0001,丹陽郡,ch_c0001,建康,建康,建康,0,,,,0,0,118.76899000250202,32.05256299181896,1,seat,,CHGIS V6,1361,463,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0002,40522,ch_s0001,揚州,ch_p0001,丹陽郡,ch_c0002,秣陵,秣陵,秣陵,0,,,,0,0,118.76899000250202,32.05256299181896,1,seat,,CHGIS V6,1361,463,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0003,41377,ch_s0001,揚州,ch_p0001,丹陽郡,ch_c0003,丹陽,丹陽,丹陽,0,,,,0,0,118.71336000314969,31.65600899238093,1,seat,,CHGIS V6,1361,463,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0004,40583,ch_s0001,揚州,ch_p0001,丹陽郡,ch_c0004,溧陽,溧陽,溧陽,0,,,,0,0,118.96814900269389,31.305571991055462,1,seat,,CHGIS V6,1361,463,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0005,40591,ch_s0001,揚州,ch_p0001,丹陽郡,ch_c0005,永世,永世,永世,0,,,,0,0,119.46861399860946,31.37003998730791,1,seat,,CHGIS V6,1363,465,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0006,40538,ch_s0001,揚州,ch_p0001,丹陽郡,ch_c0006,江寧,江寧,江寧,0,,,,0,0,118.59563400320322,31.863769992917724,1,seat,,CHGIS V6,1363,465,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0007,40533,ch_s0001,揚州,ch_p0001,丹陽郡,ch_c0007,句容,句容,句容,0,,,,0,0,119.16273500039418,31.94653498923837,1,seat,,CHGIS V6,1363,465,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0002,,ch_s0001,揚州,ch_p0002,南琅邪、彭城二郡,,,南琅邪、彭城二郡,南琅邪、彭城二郡,0,,,,0,1,,,0,unmapped,CHGIS 588未找到可采用的同名郡治点,,1363,465,,
