"人物","原始写法","起年","迄年","年度段","爵号","身份","显示色值","颜色依据","爵号依据","史料链接","是否待核","待核原因","用户修订色值","用户修订身份","用户备注"
"陳元基","陳元基","583","588","583—588","湘潭侯","皇子之子（長子，湘潭侯；未襲王）","#0070C0","《陳書》卷二十八：江夏王伯義長子元基，先封湘潭侯","既有封國紀年 chen_fief_0022：？—589年","https://zh.wikisource.org/zh/陳書/卷28","是","既有封國紀年 chen_fief_0022：？—589年","","",""
"陳文盛","陳文盛","588","588","588","未見確定爵號","原表姓名色（身份待核）","#FF0000","原年表 E352","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳方泰","陳方泰／陈方泰","560","563","560—563","南康國世子","南康國世子（本年未襲王）","#0070C0","《陳書》卷十四父子與襲爵記載；未襲年度沿用既有封國紀年","既有封國紀年 chen_fief_0001：維基表列560年－589年；本文改定564年起","https://zh.wikisource.org/zh/陳書/卷14","否","","","",""
"陳方泰","陳方泰／陈方泰","564","588","564—588","南康嗣王","嗣王","#7030A0","本項封國年度承襲紀錄（沿用已有服喪及嗣位考定；僅實際襲王階段用紫色）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","","是","身份／承襲年度沿用現表推定；既有封國紀年 chen_fief_0001：維基表列560年－589年；本文改定564年起","","",""
"陳方慶","陳方慶","560","575","560—575","臨汝侯","南康王之子（臨汝侯；未襲王）","#0070C0","《陳書》卷十四：曇朗子方慶，天嘉中封臨汝縣侯；沿用原表藍色","既有封國紀年 chen_fief_0048：560年代—589年","https://zh.wikisource.org/zh/陳書/卷14","是","既有封國紀年 chen_fief_0048：560年代—589年","","",""
"陳方慶","陳方慶","576","578","576—578","臨汝侯","南康王之子（臨汝侯；未襲王）","#0070C0","《陳書》卷十四：曇朗子方慶，天嘉中封臨汝縣侯；沿用原表藍色","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷14","否","","","",""
"陳方慶","陳方慶","579","583","579—583","臨汝侯","南康王之子（臨汝侯；未襲王）","#0070C0","《陳書》卷十四：曇朗子方慶，天嘉中封臨汝縣侯；沿用原表藍色","既有封國紀年 chen_fief_0048：560年代—589年","https://zh.wikisource.org/zh/陳書/卷14","是","既有封國紀年 chen_fief_0048：560年代—589年","","",""
"陳方慶","陳方慶","584","588","584—588","臨汝侯","南康王之子（臨汝侯；未襲王）","#0070C0","《陳書》卷十四：曇朗子方慶，天嘉中封臨汝縣侯；沿用原表藍色","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷14","否","","","",""
"陳正理","陳正理","565","566","565—566","遂興國世子","疏遠宗室（卷十五）","#984807","《陳書》卷十五：陳詳子正理嗣侯","既有封國紀年 chen_fief_0028：？—589年","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0028：？—589年","","",""
"陳正理","陳正理","567","587","567—587","遂興侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五：陳詳子正理嗣侯","既有封國紀年 chen_fief_0028：？—589年","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0028：？—589年","","",""
